                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.97904,                0.76171,                 1.2427,                0.80565,                0.81473,                0.85752,                0.58699,                 1.1598,                 0.8081,                 1.4365,              0.0007526,              0.0007526,              0.0007526
                     66,                0.98286,                0.76058,                 1.2433,                0.80329,                 0.8192,                0.84086,                0.56921,                 1.1839,                0.80713,                 1.4674,              0.0007328,              0.0007328,              0.0007328
                     67,                0.96526,                 0.7468,                 1.2249,                 0.8314,                0.79464,                0.85228,                0.57223,                 1.1757,                0.80288,                 1.4735,               0.000713,               0.000713,               0.000713
                     68,                0.96163,                 0.7325,                  1.219,                0.81876,                0.82143,                0.85474,                0.57908,                 1.1535,                 0.7721,                 1.4393,              0.0006932,              0.0006932,              0.0006932
                     69,                0.96924,                0.72815,                 1.2235,                  0.819,                0.80357,                0.85047,                 0.5896,                 1.1453,                0.79061,                 1.4241,              0.0006734,              0.0006734,              0.0006734
                     70,                0.96385,                0.73397,                  1.226,                0.81615,                0.78795,                0.84123,                0.58435,                 1.1311,                0.81022,                 1.4081,              0.0006536,              0.0006536,              0.0006536
                     71,                0.95608,                0.71105,                  1.215,                0.81068,                0.80287,                0.84505,                0.57956,                 1.1522,                0.80193,                 1.4366,              0.0006338,              0.0006338,              0.0006338
                     72,                0.94413,                0.70804,                 1.2111,                0.77517,                0.81696,                0.84668,                0.58939,                 1.1389,                0.81927,                  1.409,               0.000614,               0.000614,               0.000614
                     73,                0.95094,                0.72206,                 1.2213,                0.77877,                0.80134,                0.84288,                0.57598,                  1.147,                0.83325,                 1.4211,              0.0005942,              0.0005942,              0.0005942
                     74,                0.93546,                  0.715,                 1.1958,                0.78119,                 0.8192,                0.84562,                0.57913,                 1.1479,                0.80456,                 1.4289,              0.0005744,              0.0005744,              0.0005744
                     75,                0.93114,                0.69138,                 1.2006,                0.78675,                0.80357,                0.84111,                0.57998,                 1.1422,                0.80967,                 1.4304,              0.0005546,              0.0005546,              0.0005546
                     76,                0.91816,                0.69899,                  1.199,                0.82973,                0.77231,                0.85156,                0.58604,                 1.1363,                0.80207,                 1.4143,              0.0005348,              0.0005348,              0.0005348
                     77,                 0.9118,                0.68096,                 1.1897,                0.80903,                0.80378,                0.85352,                0.59311,                 1.1202,                 0.7785,                 1.4117,               0.000515,               0.000515,               0.000515
                     78,                 0.9257,                0.68758,                 1.2001,                 0.8055,                0.79911,                0.84266,                0.58542,                 1.1251,                0.80924,                 1.4178,              0.0004952,              0.0004952,              0.0004952
                     79,                0.90134,                 0.6643,                 1.1781,                0.75524,                0.81964,                0.84349,                0.58971,                  1.116,                0.82061,                 1.4072,              0.0004754,              0.0004754,              0.0004754
                     80,                 0.9033,                0.65642,                 1.1873,                0.77321,                0.83036,                0.84868,                0.58673,                 1.1356,                0.79499,                 1.4297,              0.0004556,              0.0004556,              0.0004556
